StationName ,County,BeginGageServiceDate,EndGageServiceDate,TotalPrecipitation_inches,WaterYear,Notes_FlaggedResults,x_coord,y_coord
Ball Mountain,Tehama,9/18/2014,9/8/2015,23.35,2015,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/8/2015,9/7/2016,29.59,2016,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/7/2016,9/19/2017,44.47,2017,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/19/2017,8/30/2018,20.06,2018,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/30/2018,9/23/2019,46.48,2019,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/24/2019,9/27/2020,13.46,2020,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/27/2020,8/18/2021,9.34,2021,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/18/2021,9/9/2022,16.51,2022,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/9/2022,9/14/2023,48.24,2023,,-122.7809112,39.93636855
Blacks Mountain,Lassen,10/9/1947,6/22/1948,25.12,1948,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/22/1948,6/22/1949,16,1949,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/22/1949,6/24/1950,21.36,1950,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/24/1950,6/24/1951,22.03,1951,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/24/1951,7/21/1952,28.06,1952,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/21/1952,7/18/1953,22.53,1953,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/18/1953,7/19/1954,18.07,1954,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/19/1954,7/24/1955,14.06,1955,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/24/1955,7/26/1956,31.37,1956,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/26/1956,7/26/1957,21.61,1957,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/26/1957,7/12/1958,28.75,1958,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/12/1958,7/14/1959,16.43,1959,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/14/1959,7/14/1960,16.45,1960,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/14/1960,7/24/1961,21.19,1961,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/24/1961,7/27/1962,20.4,1962,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/27/1962,7/24/1963,30.8,1963,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/24/1963,7/16/1964,22.97,1964,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/16/1964,6/29/1965,30.35,1965,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/29/1965,6/27/1966,17.15,1966,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/27/1966,7/13/1967,28.73,1967,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/13/1967,8/21/1968,21.69,1968,,-121.1998423,40.77003454
Blacks Mountain,Lassen,8/21/1968,8/6/1969,29.64,1969,,-121.1998423,40.77003454
Blacks Mountain,Lassen,8/6/1969,6/22/1970,25.08,1970,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/22/1970,8/9/1971,34.14,1971,,-121.1998423,40.77003454
Blacks Mountain,Lassen,8/9/1971,7/18/1972,20.06,1972,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/18/1972,6/25/1973,24.14,1973,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/25/1973,6/17/1974,28.23,1974,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/17/1974,8/25/1975,33.06,1975,,-121.1998423,40.77003454
Blacks Mountain,Lassen,8/25/1975,8/23/1976,17.41,1976,,-121.1998423,40.77003454
Blacks Mountain,Lassen,8/23/1976,6/20/1977,16.06,1977,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/20/1977,6/21/1978,27.68,1978,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/21/1978,6/18/1979,21.6,1979,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/18/1979,6/16/1980,30.45,1980,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/16/1980,6/8/1981,21.25,1981,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/8/1981,8/9/1982,39.1,1982,,-121.1998423,40.77003454
Blacks Mountain,Lassen,8/9/1982,8/15/1983,37.75,1983,,-121.1998423,40.77003454
Blacks Mountain,Lassen,8/15/1983,7/23/1984,28.85,1984,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/23/1984,6/17/1985,22.87,1985,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/17/1985,6/16/1986,30.85,1986,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/16/1986,6/1/1987,22.6,1987,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/1/1987,6/14/1988,18.5,1988,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/14/1988,6/12/1989,25.1,1989,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/12/1989,6/11/1990,23.9,1990,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/11/1990,6/10/1991,26,1991,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/10/1991,6/8/1992,14.9,1992,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/8/1992,6/14/1993,36.64,1993,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/14/1993,6/6/1994,22.79,1994,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/6/1994,9/15/1995,47.17,1995,,-121.1998423,40.77003454
Blacks Mountain,Lassen,9/15/1995,7/22/1998,28.4,1996,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/22/1996,7/9/1997,29.6,1997,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/9/1997,7/31/1998,39.35,1998,,-121.1998423,40.77003454
Blacks Mountain,Lassen,7/31/1998,9/14/1999,24.6,1999,,-121.1998423,40.77003454
Blacks Mountain,Lassen,9/14/1999,6/5/2000,20.44,2000,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/5/2000,6/18/2001,15.3,2001,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/18/2001,6/17/2002,21.65,2002,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/17/2002,6/10/2003,25.1,2003,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/10/2003,6/28/2004,20.8,2004,,-121.1998423,40.77003454
Blacks Mountain,Lassen,6/28/2004,9/15/2005,24.35,2005,,-121.1998423,40.77003454
Blacks Mountain,Lassen,9/15/2005,9/25/2006,32.45,2006,,-121.1998423,40.77003454
Blacks Mountain,Lassen,9/25/2006,10/2/2007,19.01,2007,Data collection occurred within the next water year,-121.1998423,40.77003454
Blacks Mountain,Lassen,10/2/2007,10/10/2008,18.85,2008,Data collection occurred within the next water year,-121.1998423,40.77003454
Blacks Mountain,Lassen,10/10/2008,10/7/2009,20.84,2009,Data collection occurred within the next water year,-121.1998423,40.77003454
Blacks Mountain,Lassen,10/7/2009,9/16/2010,24.04,2010,,-121.1998423,40.77003454
Blacks Mountain,Lassen,9/16/2010,8/12/2011,34.81,2011,,-121.1998423,40.77003454
Blacks Mountain,Lassen,8/12/2011,9/12/2012,17.71,2012,,-121.1998423,40.77003454
Blacks Mountain,Lassen,9/12/2012,9/23/2013,15.81,2013,,-121.1998423,40.77003454
Blacks Mountain,Lassen,9/23/2013,9/4/2014,15.18,2014,,-121.1998423,40.77003454
